seed,naive_pick,group_pick,honest_pick,best_deploy_pick,naive_dep_mae,naive_dep_r2,honest_dep_mae,honest_dep_r2,group_dep_mae,best_dep_mae,regret_naive,regret_honest,delta_mae,delta_pct,group_eq_honest,dep_mae[kNN(k=1)],dep_mae[kNN(k=5)],dep_mae[kNN(k=50)],dep_mae[Ridge a=.01],dep_mae[Ridge a=1],dep_mae[Ridge a=100],dep_mae[RF d=None],dep_mae[RF d=4]
0,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=100,2.637587728015569,0.7587478458743839,2.4640645677644404,0.7833565245160758,2.4640645677644404,2.457289271488472,0.18029845652709708,0.006775296275968401,0.17352316025112868,6.5788583412041275,True,3.639261038500728,2.7378285305094616,2.543980005330907,2.4640645677644404,2.4639912967362574,2.457289271488472,2.637587728015569,2.5768706352112853
1,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.046810770685818,0.7903131351188738,1.9383833440542775,0.8125550303861699,1.9383833440542775,1.9383833440542775,0.10842742663154059,0.0,0.10842742663154059,5.297384017341777,True,2.688256067186726,2.1246079254730064,1.9748202136849926,1.9383833440542775,1.9383913372984731,1.9394153648493417,2.046810770685818,2.020496078293925
2,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.3779603505208353,0.754577969750966,2.195877156400968,0.7852802203790795,2.195877156400968,2.195877156400968,0.1820831941198673,0.0,0.1820831941198673,7.657116489767642,True,3.164804601056834,2.513503382667919,2.3566168816402064,2.195877156400968,2.1958924791869014,2.1977605234295097,2.3779603505208353,2.206880361910213
3,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=100,1.9493493562191597,0.661249962660879,1.7226278713622165,0.7184608539377709,1.7226278713622165,1.721847351274685,0.2275020049444747,0.0007805200875314888,0.2267214848569432,11.630623527466545,True,2.6325174152092203,2.0912452017940364,1.7968966776953144,1.7226278713622165,1.7226178308338789,1.721847351274685,1.9493493562191597,1.7957660123356167
4,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,3.5432310207175988,0.7111670401945269,1.9877375623588156,0.8998226968944625,1.9877375623588156,1.9877375623588156,1.5554934583587832,0.0,1.5554934583587832,43.90042447877853,True,3.469910754036626,2.582279546437968,2.4650924114490587,1.9877375623588156,1.9877922037769151,1.9935179223101085,3.5432310207175988,2.3775725101326612
5,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=100,2.6839260219269994,0.7992967254844022,2.499586042860363,0.8179314945467892,2.499586042860363,2.497845488938701,0.1860805329882984,0.001740553921662169,0.18433997906663624,6.868295830832335,True,3.382299337411264,2.7690149084429723,2.6650186133019407,2.499586042860363,2.499566448942721,2.497845488938701,2.6839260219269994,2.601277398903065
6,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.118762035464409,0.8070360631303244,1.636269822824955,0.9115661952330626,1.636269822824955,1.636269822824955,0.48249221263945397,0.0,0.48249221263945397,22.772364454496046,True,3.0113853926491307,2.25873302138093,2.0948456227970884,1.636269822824955,1.6363009480617463,1.6395087178992696,2.118762035464409,1.8880238364058266
7,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,3.127841016459597,-0.1638165388415429,1.7731585113455037,0.7055035352506144,1.7731585113455037,1.7731585113455037,1.3546825051140932,0.0,1.3546825051140932,43.31046552511349,True,3.0086484501318,2.2681595963383656,1.940267601459861,1.7731585113455037,1.7731910605045642,1.7766243623696756,3.127841016459597,1.898736376269613
8,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,3.4396505139766576,0.37621559689293693,1.6545651480788057,0.8792995001975219,1.6545651480788057,1.6545651480788057,1.7850853658978518,0.0,1.7850853658978518,51.89728894387222,True,3.2463928933806816,2.1397328402613636,1.8334226875988637,1.6545651480788057,1.6545929565098727,1.657493727419257,3.4396505139766576,1.8159658901067148
9,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.63132687001809,0.7549674430370661,2.1087872380439503,0.8406392590400833,2.1087872380439503,2.1087872380439503,0.5225396319741398,0.0,0.5225396319741398,19.858408239891055,True,3.454569225932082,2.5571966774637853,2.357804465912135,2.1087872380439503,2.1088272342723426,2.1128131897053417,2.63132687001809,2.2063558622905877
10,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=100,2.385623018770678,0.6548961582698452,2.2413727208345327,0.6915392476058019,2.2413727208345327,2.239380378782035,0.14624263998864295,0.001992342052497431,0.14425029793614552,6.046650992262739,True,3.1147949245111732,2.478603538435754,2.2776372901503725,2.2413727208345327,2.2413499215374997,2.239380378782035,2.385623018770678,2.3125788315253546
11,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,1.48067563567426,0.7059206868055206,1.2177393143971653,0.7735903877772531,1.2177393143971653,1.2177393143971653,0.26293632127709476,0.0,0.26293632127709476,17.757861002241764,True,2.2343238584311877,1.6059255512024424,1.326027280646313,1.2177393143971653,1.2177979569807393,1.2237730826708544,1.48067563567426,1.4146621353961593
12,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.149323569026201,0.7242024124888541,1.8461357055372458,0.7685258055605302,1.8461357055372458,1.8461357055372458,0.3031878634889553,0.0,0.3031878634889553,14.106199171598966,True,2.754691620957474,2.204333230781767,2.0646138624772092,1.8461357055372458,1.8461482731382488,1.8476329110748668,2.149323569026201,1.924291358787229
13,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.1565318956806228,0.6461486543376596,2.0156236058395565,0.6811137748107307,2.0156236058395565,2.0156236058395565,0.1409082898410663,0.0,0.1409082898410663,6.534022989564652,True,2.766873952148847,2.3238353772955977,2.1835005498867925,2.0156236058395565,2.015638418022813,2.017246261340166,2.1565318956806228,2.080890695183004
14,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.354914917114549,0.6929613053728596,2.160769599777999,0.72320630693816,2.160769599777999,2.160769599777999,0.19414531733655016,0.0,0.19414531733655016,8.244260373297658,True,3.005967120831376,2.5048750610897135,2.359578568769375,2.160769599777999,2.1607860954997964,2.1625645838262018,2.354914917114549,2.2200844447206833
15,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.1595748911299117,0.746951505471723,1.984476114609361,0.7797659824261111,1.984476114609361,1.984476114609361,0.17509877652055073,0.0,0.17509877652055073,8.10802057570401,True,2.959598816834851,2.375528773103618,2.180418361089343,1.984476114609361,1.9845295382239416,1.9899672643946087,2.1595748911299117,2.024533779984403
16,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.8386391255277514,0.146199503484864,1.6716877620022979,0.740635039086547,1.6716877620022979,1.6716877620022979,1.1669513635254536,0.0,1.1669513635254536,41.10953565851727,True,2.823677075293565,1.921825457125411,1.816322428234852,1.6716877620022979,1.6717577258454663,1.6789218914744006,2.8386391255277514,1.7369249177791262
17,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.590189196286481,0.6965044477492541,2.118954733660454,0.8012080533895356,2.118954733660454,2.118954733660454,0.47123446262602675,0.0,0.47123446262602675,18.19305181650936,True,3.2286073868707312,2.497698054247407,2.2885020245707057,2.118954733660454,2.118977030886919,2.121337494608979,2.590189196286481,2.161278895665691
18,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,1.73903916177403,0.7870905017898875,1.5405185355631337,0.8223625676729962,1.5405185355631337,1.5405185355631337,0.19852062621089628,0.0,0.19852062621089628,11.41553511701147,True,2.647111497509311,1.9840062380167598,1.7241946556582868,1.5405185355631337,1.5405748617389368,1.5463204931942316,1.73903916177403,1.618284291321471
19,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.158928257192365,0.8177410303358874,1.9284421871127324,0.8442515934021062,1.9284421871127324,1.9284421871127324,0.23048607007963273,0.0,0.23048607007963273,10.675948555111988,True,3.1735055854283054,2.2908121501536316,2.14199146233892,1.9284421871127324,1.9284468740213236,1.9291315453063664,2.158928257192365,2.009885181036557
20,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=100,2.215663558150819,0.7821023016663871,2.0674256598300125,0.8061666895210449,2.0674256598300125,2.066263094124698,0.14940046402612106,0.0011625657053144778,0.14823789832080658,6.690451615520776,True,3.0314118947221442,2.3318526680871265,2.1986906226590337,2.0674256598300125,2.0674123210521715,2.066263094124698,2.215663558150819,2.1783125711844176
21,RF d=None,Ridge a=.01,Ridge a=.01,Ridge a=.01,2.3769543882647355,0.8244106267114681,2.185800356290666,0.8483758825133473,2.185800356290666,2.185800356290666,0.19115403197406966,0.0,0.19115403197406966,8.041973077725702,True,3.408069231298077,2.5655167320913463,2.5162225505307694,2.185800356290666,2.185842897921435,2.1901616606588874,2.3769543882647355,2.283924257557449
