seed,cv_mae_group_pick,cv_mae_shuffled_pick,dep_mae_group_pick,dep_mae_shuffled_pick,dep_minus_cv_group_pick,dep_minus_cv_shuffled_pick,wape_group_pick,wape_shuffled_pick,macro_mae_group_pick,macro_mae_shuffled_pick,hh_favoring_group_pick,n_dep_households,dep_mean_kwh
20,1.8087994777510796,1.7658111278567692,2.0674256598300125,2.215663558150819,0.25862618207893284,0.44985243029404987,19.891326543866654,21.317568124866533,2.1428008306310846,2.3095538709214765,10,12,10.393603741161687
21,1.7858988436386938,1.7343821171935847,2.185800356290666,2.3769543882647355,0.39990151265197205,0.6425722710711508,17.243813237440705,18.751830388896558,2.1937956689184674,2.3828473546376423,11,12,12.675852644615386
22,1.902326650833335,1.829125638747722,1.7751029457720149,2.2704553630380193,-0.12722370506132008,0.4413297242902974,14.772314341712711,18.89461138099692,1.7751029457720149,2.2704553630380193,11,12,12.016417365013968
23,1.9452329391361816,1.877092883764052,1.5870419191853717,1.951752379105605,-0.3581910199508098,0.07465949534155314,15.457257022235154,19.009414813113374,1.5915094165611992,1.9554285780426828,12,12,10.267293329614843
24,1.789003026770788,1.7356436191227687,2.255600990277902,2.578219548516356,0.46659796350711424,0.8425759293935875,16.355879748889414,18.69526085665268,2.441332514839611,2.788950115801347,12,12,13.790765308304863
25,2.0126938209095853,1.9765047724352507,1.3611319108716782,2.6569867083733314,-0.6515619100379071,0.6804819359380807,14.959117871076835,29.20082692572199,1.3611319108716782,2.656986708373332,11,12,9.099011870903166
26,1.8855036878814784,1.8340461586476373,1.8014006716935238,3.323770824732838,-0.08410301618795457,1.4897246660852008,19.491828957586446,35.964443351185096,1.7818262069131967,3.2762715615750406,11,12,9.241824744170032
27,1.9414651079415726,1.9014457383912269,1.5657691636432494,1.7366541092377095,-0.3756959442983232,-0.16479162915351742,16.68270196602751,18.503419019363694,1.591398991279972,1.7607430189781195,11,12,9.385584942006195
28,1.9270460747201288,1.8557695323314494,1.6105263515056107,1.9187156239390912,-0.31651972321451805,0.06294609160764186,16.928171792212,20.16753570786204,1.8769306451113879,2.216255358531798,12,12,9.513882368836494
29,1.9285160530505014,1.889963901764088,1.645469813652762,2.9186799309221665,-0.28304623939773954,1.0287160291580786,16.79544069298531,29.79119718567766,1.6686846462200322,2.9138252602105723,12,12,9.797121991208005
