seed,naive_pick,honest_pick,best_deploy_pick,naive_cv_mae,honest_cv_mae,naive_dep_mae,naive_dep_r2,honest_dep_mae,honest_dep_r2,best_dep_mae,regret_naive,regret_honest,delta_mae,delta_pct,naive_cv[kNN(k=1)],naive_cv[kNN(k=5)],naive_cv[kNN(k=50)],naive_cv[Ridge a=.01],naive_cv[Ridge a=1],naive_cv[Ridge a=100],naive_cv[RF d=None],naive_cv[RF d=4],honest_cv[kNN(k=1)],honest_cv[kNN(k=5)],honest_cv[kNN(k=50)],honest_cv[Ridge a=.01],honest_cv[Ridge a=1],honest_cv[Ridge a=100],honest_cv[RF d=None],honest_cv[RF d=4],dep_mae[kNN(k=1)],dep_mae[kNN(k=5)],dep_mae[kNN(k=50)],dep_mae[Ridge a=.01],dep_mae[Ridge a=1],dep_mae[Ridge a=100],dep_mae[RF d=None],dep_mae[RF d=4]
10,RF d=None,Ridge a=.01,Ridge a=.01,1.6790417255942056,1.877860942932055,2.484817189505432,0.631138734536667,2.256112323407203,0.6922359438851335,2.256112323407203,0.2287048660982287,0.0,0.2287048660982287,9.204092239226227,2.2281317709978437,1.7783237281519377,1.8278663231384396,1.7317934620043747,1.7318170998157076,1.7345415226978573,1.6790417255942056,1.7756224227341488,3.069594410448331,2.4188238173205043,2.506722611430436,1.877860942932055,1.8780358909192478,1.8958027192602516,2.3927459995672593,2.043730154705094,3.2215614523277463,2.5925827272160147,2.476314221835661,2.256112323407203,2.256127255995519,2.2581607734123086,2.484817189505432,2.3184218966286636
11,RF d=None,Ridge a=.01,Ridge a=.01,1.9538994345200955,2.2035207595445794,1.8770158228678375,0.6365819541607826,1.4186988389519106,0.751478578223189,1.4186988389519106,0.4583169839159269,0.0,0.4583169839159269,24.417321278393796,2.6072391477187074,2.094778721874057,2.107253364580288,2.02315153187267,2.0231771680291017,2.025916685733364,1.9538994345200955,2.038204114862637,3.660586358870256,2.782580630454728,2.8214592664982945,2.2035207595445794,2.2036953864330915,2.2213454898970406,2.86074175541864,2.3302788955693305,2.4815540136449035,1.8012217462423672,2.071845941756224,1.4186988389519106,1.4188784996955925,1.4367275713129828,1.8770158228678375,1.6748008928300935
12,RF d=None,Ridge a=.01,Ridge a=.01,1.7548388240336703,2.0248995997276547,2.141522126119642,0.7284596967270216,1.9661193185244838,0.7663100200344461,1.9661193185244838,0.17540280759515814,0.0,0.17540280759515814,8.190567141745179,2.3443004604789683,1.8789404608081057,1.9158861395132945,1.8374892464823431,1.8375094128337097,1.8397270675839572,1.7548388240336703,1.8662847483832734,3.263098931715143,2.5019677985086104,2.6626084754018753,2.0248995997276547,2.025074215777211,2.0425845269920737,2.4603386414303587,2.2147183942264603,2.6809195334351923,2.221140006376369,2.3975857553409727,1.9661193185244838,1.9662424437029353,1.978592149973858,2.141522126119642,2.137259380642789
13,RF d=None,Ridge a=.01,Ridge a=.01,1.7433646642024798,2.02193959835257,2.376170416627284,0.6224487064654828,2.0912490653170503,0.6846972061151257,2.0912490653170503,0.28492135131023355,0.0,0.28492135131023355,11.990779336216487,2.29494840337099,1.8453907146392807,1.8594841315479038,1.796152222695238,1.7961654507108276,1.797706539451497,1.7433646642024798,1.8311449339685317,3.361202886793375,2.615298119574342,2.7965654358681116,2.02193959835257,2.022121308787779,2.0404318458882824,2.570140757095966,2.2708172238397575,2.810790880345912,2.412831026645702,2.530197420603774,2.0912490653170503,2.0913330696799233,2.099795695240682,2.376170416627284,2.258029155354103
14,RF d=None,Ridge a=.01,Ridge a=.01,1.7023788865579061,1.9770779004922292,2.4645766110883827,0.682248925438208,2.238868121094587,0.7249880636759748,2.238868121094587,0.22570848999379578,0.0,0.22570848999379578,9.158104032080406,2.2234140733011203,1.7826644424812745,1.8168076332298995,1.7505498659475631,1.7505676666978922,1.752607102000058,1.7023788865579061,1.7988828162571369,3.1245279968566426,2.442188275738135,2.5619815482508863,1.9770779004922292,1.9772633442584655,1.9959398606512344,2.412511328885545,2.0393010132874787,3.020667216627525,2.5326816837435415,2.548164303923908,2.238868121094587,2.238973691651918,2.2496025610686323,2.4645766110883827,2.2480067483544164
15,RF d=None,Ridge a=.01,Ridge a=.01,1.745647850442141,2.009577482002096,2.3824276469546106,0.7177988122509241,2.0826198898790493,0.7784285491047939,2.0826198898790493,0.2998077570755613,0.0,0.2998077570755613,12.584128523642555,2.322379148539958,1.8547243700910017,1.869245503738282,1.8078214858272208,1.8078420680021416,1.8101037565677398,1.745647850442141,1.835093712264759,3.2651264956722876,2.494854576352265,2.6158072081716,2.009577482002096,2.009761231629578,2.028251810377728,2.2877843396812856,2.120037579395168,3.242749695102141,2.4866190016244154,2.541399931424071,2.0826198898790493,2.0827663237595093,2.097334500648054,2.3824276469546106,2.1145936068270297
16,RF d=None,Ridge a=.01,Ridge a=.01,1.8202608328989751,2.07710344955618,2.215468253680014,0.6534435052276821,1.8078784093934452,0.7371685007604978,1.8078784093934452,0.40758984428656864,0.0,0.40758984428656864,18.397458126946283,2.4212926469083085,1.9420280934073777,1.974637338028692,1.9021777557135784,1.902205302554917,1.9051348405781705,1.8202608328989751,1.9314785312185365,3.5179926710539364,2.783670195907494,2.838130277265064,2.07710344955618,2.0772996339014425,2.096977412536763,2.5792690111133476,2.383183672817366,2.883047673931423,2.232520478595585,2.4408984258154063,1.8078784093934452,1.8080353995576912,1.8235943446643177,2.215468253680014,1.8994167655255167
17,RF d=None,Ridge a=.01,Ridge a=.01,1.7182287355168033,1.9849444767015942,2.499007874243281,0.7483226280911484,2.186547715341958,0.7977676052009648,2.186547715341958,0.31246015890132295,0.0,0.31246015890132295,12.503368321555941,2.2593265969550993,1.8142443848945746,1.8270367029328143,1.7708269943526207,1.7708440718418952,1.772719367541254,1.7182287355168033,1.8114898282306764,3.0990655234648288,2.426028811373241,2.5167504434508383,1.9849444767015942,1.985113345642939,2.001994764135773,2.297388391936535,1.9885290100676696,3.463119150392107,2.7170611187199594,2.6244661275325067,2.186547715341958,2.1866551502105627,2.19765974155448,2.499007874243281,2.271544111531706
18,RF d=None,Ridge a=.01,Ridge a=.01,1.8447510515969807,2.110471064649789,1.9822984500035499,0.7567586219789489,1.6723346271949182,0.817492407544416,1.6723346271949182,0.30996382280863166,0.0,0.30996382280863166,15.636587054188364,2.468374463267042,1.971537927372406,1.9703560484288611,1.9239912093391645,1.9240120553052662,1.9262613039689533,1.8447510515969807,1.9617438276057793,3.339250306262213,2.6486717941821807,2.873533623287991,2.110471064649789,2.1106530630307043,2.128949403512644,2.5192461979780765,2.509497812766646,2.7663894312383612,2.2587149916340783,2.395889208623371,1.6723346271949182,1.672495671446465,1.6885086077266438,1.9822984500035499,2.051824743223104
19,RF d=None,Ridge a=.01,Ridge a=.01,1.728491856715268,1.9585360216849423,2.4797667727473827,0.7809194077007455,1.9889777624603973,0.8382542678271245,1.9889777624603973,0.4907890102869854,0.0,0.4907890102869854,19.791740726618034,2.3085622658028226,1.8440663062563445,1.87725059618597,1.8180716427778925,1.8180867093160487,1.8198060164123895,1.728491856715268,1.8426333895531388,3.049140116007205,2.5000974965654224,2.6864600881725793,1.9585360216849423,1.958668121466604,1.9720630026596644,2.391514677730855,2.3273423363809123,3.5186277945530726,2.6309838449115457,2.638956643702514,1.9889777624603973,1.9890617662899024,1.9976846044921501,2.4797667727473827,2.228214195871894
